epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,28338.3,0.50095,0.41836,0.81269,0.80859,0.71577,0.76378,0.58724,0.3533,0.27138,0.67906,0.00921546,0.00921546,0.00921546
97,28632.8,0.49582,0.41502,0.8101,0.80809,0.71793,0.76472,0.58861,0.35207,0.27026,0.67801,0.0092072,0.0092072,0.0092072
98,28927.5,0.49896,0.4158,0.81206,0.80898,0.7183,0.76611,0.59022,0.35083,0.26907,0.67695,0.00919894,0.00919894,0.00919894
99,29222,0.49743,0.41273,0.80939,0.80967,0.71869,0.7675,0.59186,0.34961,0.26793,0.6759,0.00919068,0.00919068,0.00919068
100,29516.3,0.49491,0.41194,0.80756,0.81085,0.72031,0.76926,0.59323,0.34838,0.26688,0.67487,0.00918242,0.00918242,0.00918242
101,29810.3,0.48987,0.40799,0.80483,0.81416,0.72034,0.77106,0.59487,0.34715,0.26576,0.67383,0.00917417,0.00917417,0.00917417
102,30104.8,0.48928,0.40641,0.80324,0.81126,0.72308,0.77197,0.5962,0.34596,0.26466,0.67281,0.00916591,0.00916591,0.00916591
103,30399.3,0.48848,0.40543,0.80307,0.81548,0.72302,0.77361,0.59768,0.34475,0.26359,0.67178,0.00915765,0.00915765,0.00915765
104,30691.9,0.48838,0.40509,0.80167,0.8157,0.72418,0.77485,0.599,0.34354,0.26253,0.67076,0.00914939,0.00914939,0.00914939
105,30984.3,0.48434,0.40295,0.79889,0.81973,0.72288,0.77561,0.60028,0.34232,0.26141,0.66974,0.00914113,0.00914113,0.00914113
106,31277.8,0.48417,0.40191,0.7991,0.81785,0.72474,0.77758,0.60169,0.34116,0.26037,0.66875,0.00913288,0.00913288,0.00913288
107,31570.8,0.48269,0.40116,0.79811,0.81857,0.72645,0.77889,0.60284,0.33999,0.25937,0.66775,0.00912462,0.00912462,0.00912462
108,31864.1,0.47754,0.39622,0.79321,0.8208,0.7279,0.78083,0.60475,0.33877,0.25834,0.66672,0.00911636,0.00911636,0.00911636
109,32157.7,0.47944,0.39645,0.79526,0.82269,0.72886,0.78215,0.60602,0.33759,0.25732,0.66574,0.0091081,0.0091081,0.0091081
110,32451,0.47909,0.39462,0.79478,0.82169,0.73011,0.7833,0.60758,0.33643,0.25634,0.66474,0.00909984,0.00909984,0.00909984
111,32744.4,0.47577,0.39257,0.79125,0.82298,0.7322,0.78563,0.60955,0.33526,0.25533,0.66375,0.00909158,0.00909158,0.00909158
112,33037.9,0.47455,0.39278,0.79077,0.82532,0.7319,0.78642,0.61081,0.3341,0.2543,0.66277,0.00908332,0.00908332,0.00908332
113,33331.6,0.47188,0.38947,0.78844,0.82628,0.73386,0.78783,0.61249,0.33292,0.25327,0.66178,0.00907507,0.00907507,0.00907507
114,33625.2,0.47254,0.38891,0.78923,0.82553,0.73687,0.78999,0.61406,0.33177,0.25226,0.6608,0.00906681,0.00906681,0.00906681
115,33919.3,0.46967,0.38768,0.78705,0.82861,0.73658,0.79111,0.61562,0.33065,0.2513,0.65985,0.00905855,0.00905855,0.00905855
116,34213.6,0.46946,0.38629,0.78609,0.82558,0.74095,0.79255,0.61692,0.32948,0.25033,0.65888,0.00905029,0.00905029,0.00905029
117,34507.5,0.46735,0.38354,0.78362,0.82342,0.7445,0.79356,0.61834,0.32833,0.24934,0.65794,0.00904203,0.00904203,0.00904203
118,34801.5,0.4681,0.38476,0.78515,0.82487,0.74622,0.79532,0.6202,0.32713,0.24831,0.65696,0.00903377,0.00903377,0.00903377
119,35095.5,0.46705,0.384,0.7844,0.82754,0.74775,0.7965,0.62164,0.32601,0.24737,0.65602,0.00902552,0.00902552,0.00902552
120,35389.7,0.46626,0.38237,0.78268,0.83255,0.74625,0.79797,0.62369,0.32489,0.24643,0.65506,0.00901726,0.00901726,0.00901726
121,35683.4,0.46299,0.38069,0.78052,0.82819,0.75187,0.79906,0.62498,0.32376,0.24547,0.65411,0.009009,0.009009,0.009009
122,35976.8,0.46312,0.37994,0.78136,0.83238,0.75161,0.80073,0.62641,0.32256,0.24454,0.65312,0.00900074,0.00900074,0.00900074
123,36270.5,0.46144,0.37981,0.77964,0.83207,0.75389,0.802,0.62805,0.3214,0.24354,0.65214,0.00899248,0.00899248,0.00899248
124,36564.4,0.45911,0.37622,0.77773,0.8321,0.75554,0.80343,0.62963,0.32026,0.24258,0.6512,0.00898423,0.00898423,0.00898423
125,36858.3,0.45593,0.37516,0.77622,0.83298,0.75839,0.80525,0.63123,0.31914,0.24166,0.65026,0.00897597,0.00897597,0.00897597
126,37152.4,0.45896,0.37673,0.77769,0.83524,0.75923,0.80721,0.63297,0.318,0.24068,0.64932,0.00896771,0.00896771,0.00896771
127,37446.8,0.45636,0.3738,0.77461,0.83735,0.7606,0.80858,0.63474,0.31683,0.2397,0.64837,0.00895945,0.00895945,0.00895945
128,37741,0.45283,0.37176,0.77238,0.83964,0.75991,0.80952,0.63638,0.3157,0.23873,0.64743,0.00895119,0.00895119,0.00895119
129,38035,0.45211,0.36896,0.77176,0.8421,0.75963,0.81081,0.63814,0.31455,0.23776,0.64649,0.00894293,0.00894293,0.00894293
130,38329.5,0.45309,0.37096,0.77284,0.84285,0.76074,0.81235,0.63968,0.3134,0.23683,0.64553,0.00893467,0.00893467,0.00893467
131,38623.5,0.45115,0.36923,0.77021,0.84432,0.76274,0.81386,0.6416,0.31226,0.2359,0.64459,0.00892642,0.00892642,0.00892642
132,38917.3,0.44981,0.36795,0.7701,0.84621,0.76534,0.81565,0.64343,0.31108,0.23496,0.64363,0.00891816,0.00891816,0.00891816
133,39211.1,0.44893,0.36606,0.76795,0.84782,0.76625,0.81732,0.64494,0.30993,0.23404,0.64268,0.0089099,0.0089099,0.0089099
134,39505.8,0.44813,0.36622,0.76832,0.84766,0.76857,0.81888,0.64651,0.30882,0.23314,0.64175,0.00890164,0.00890164,0.00890164
135,39800.6,0.44865,0.3669,0.76857,0.8472,0.77236,0.82001,0.64777,0.30768,0.2322,0.64083,0.00889338,0.00889338,0.00889338
136,40095.2,0.44656,0.36399,0.76668,0.85053,0.77202,0.82204,0.64956,0.30656,0.23131,0.63991,0.00888512,0.00888512,0.00888512
137,40389.6,0.4436,0.36277,0.76566,0.85833,0.76987,0.82296,0.65124,0.30542,0.23038,0.639,0.00887687,0.00887687,0.00887687
138,40684.3,0.44436,0.3631,0.76491,0.85715,0.77228,0.8246,0.65283,0.30434,0.22949,0.63812,0.00886861,0.00886861,0.00886861
139,40978.9,0.44295,0.36131,0.76373,0.8568,0.77322,0.82584,0.65462,0.30331,0.22861,0.63726,0.00886035,0.00886035,0.00886035
140,41273.8,0.44255,0.36108,0.76298,0.85916,0.77406,0.82752,0.65631,0.30218,0.22769,0.63634,0.00885209,0.00885209,0.00885209
141,41568.4,0.4397,0.35901,0.76265,0.85984,0.77465,0.82828,0.65761,0.30107,0.22678,0.63547,0.00884383,0.00884383,0.00884383
142,41863.1,0.43891,0.35695,0.76114,0.86198,0.77651,0.82954,0.65911,0.29993,0.22593,0.63457,0.00883558,0.00883558,0.00883558
143,42158.1,0.43861,0.35739,0.76054,0.86482,0.777,0.83075,0.66076,0.29879,0.22503,0.63368,0.00882732,0.00882732,0.00882732
144,42452.7,0.43671,0.35573,0.75985,0.8661,0.77734,0.83189,0.66203,0.29769,0.22417,0.63279,0.00881906,0.00881906,0.00881906
145,42747.4,0.43742,0.35584,0.75911,0.86856,0.77726,0.83338,0.66383,0.29661,0.22331,0.63193,0.0088108,0.0088108,0.0088108
146,43041.8,0.43701,0.35512,0.75952,0.87053,0.77759,0.83459,0.66515,0.29552,0.22244,0.63106,0.00880254,0.00880254,0.00880254
147,43336,0.43264,0.35411,0.75646,0.87124,0.78057,0.83634,0.66687,0.29442,0.22156,0.63019,0.00879428,0.00879428,0.00879428
148,43630.7,0.43415,0.35342,0.75764,0.86672,0.78514,0.83764,0.66852,0.29334,0.22073,0.62933,0.00878602,0.00878602,0.00878602
149,43925.4,0.43235,0.35129,0.75539,0.87112,0.78332,0.83908,0.67056,0.29232,0.21989,0.62853,0.00877777,0.00877777,0.00877777
150,44220.2,0.43382,0.35245,0.75575,0.87222,0.78455,0.84003,0.67209,0.29131,0.21907,0.6277,0.00876951,0.00876951,0.00876951
151,44515,0.43008,0.34989,0.7553,0.87522,0.78489,0.84148,0.67369,0.29027,0.21824,0.62689,0.00876125,0.00876125,0.00876125
152,44810.1,0.4284,0.34926,0.7535,0.88037,0.78425,0.8431,0.67525,0.28926,0.21744,0.62609,0.00875299,0.00875299,0.00875299
153,45104.6,0.43012,0.34871,0.75317,0.88106,0.7854,0.84423,0.67663,0.28822,0.21662,0.62525,0.00874473,0.00874473,0.00874473
154,45399.4,0.42899,0.34702,0.7522,0.88197,0.78745,0.84548,0.67807,0.28719,0.21582,0.62443,0.00873648,0.00873648,0.00873648
155,45693.7,0.42954,0.34938,0.75333,0.88736,0.78692,0.84721,0.67974,0.28617,0.21506,0.62366,0.00872822,0.00872822,0.00872822
156,45988,0.42726,0.34757,0.75253,0.88714,0.78848,0.84876,0.68134,0.28517,0.21428,0.62288,0.00871996,0.00871996,0.00871996
157,46282.2,0.42494,0.34509,0.7501,0.88783,0.79088,0.85039,0.68304,0.28418,0.21349,0.62211,0.0087117,0.0087117,0.0087117
158,46576.4,0.4251,0.3456,0.74976,0.88944,0.79137,0.85155,0.68469,0.28317,0.21269,0.62127,0.00870344,0.00870344,0.00870344
159,46871.1,0.42698,0.34544,0.7499,0.88958,0.79271,0.85304,0.68689,0.28217,0.21192,0.62048,0.00869518,0.00869518,0.00869518
160,47165.3,0.42468,0.3445,0.74967,0.89202,0.79331,0.85427,0.68818,0.2812,0.21113,0.61971,0.00868692,0.00868692,0.00868692
161,47459.8,0.4235,0.34279,0.74849,0.89298,0.7944,0.8556,0.6896,0.2802,0.21035,0.61897,0.00867867,0.00867867,0.00867867
162,47754.2,0.42167,0.34087,0.74642,0.89393,0.79501,0.85673,0.69142,0.2792,0.20956,0.6182,0.00867041,0.00867041,0.00867041
163,48048.9,0.42056,0.33988,0.74557,0.89422,0.79507,0.85773,0.69315,0.27821,0.20885,0.61746,0.00866215,0.00866215,0.00866215
164,48343.3,0.42182,0.3425,0.74716,0.89377,0.79827,0.85932,0.69503,0.27724,0.20809,0.61674,0.00865389,0.00865389,0.00865389
165,48638,0.42021,0.3413,0.74598,0.89508,0.79915,0.86045,0.69674,0.27621,0.20734,0.61598,0.00864563,0.00864563,0.00864563
166,48932.5,0.41873,0.33933,0.74548,0.89753,0.79875,0.86136,0.69805,0.27526,0.20661,0.61524,0.00863738,0.00863738,0.00863738
167,49227.2,0.41723,0.33728,0.74336,0.89711,0.80107,0.86269,0.69969,0.2743,0.20584,0.61448,0.00862912,0.00862912,0.00862912
168,49521.5,0.41736,0.33888,0.74406,0.89567,0.80267,0.86349,0.70135,0.27333,0.20512,0.61375,0.00862086,0.00862086,0.00862086
169,49816.1,0.4186,0.33943,0.74453,0.89594,0.80341,0.8646,0.70294,0.27237,0.20438,0.61303,0.0086126,0.0086126,0.0086126
170,50110.9,0.41618,0.33683,0.74315,0.89639,0.80496,0.86579,0.70428,0.2714,0.20367,0.61228,0.00860434,0.00860434,0.00860434
171,50405.2,0.41534,0.33638,0.74203,0.8981,0.80661,0.86731,0.70586,0.27043,0.20294,0.61156,0.00859608,0.00859608,0.00859608
172,50699.2,0.41504,0.33364,0.73983,0.89613,0.81156,0.86854,0.70735,0.26954,0.20226,0.61087,0.00858783,0.00858783,0.00858783
173,50992.7,0.41345,0.33401,0.74088,0.89531,0.81599,0.86984,0.70876,0.26863,0.20156,0.61019,0.00857957,0.00857957,0.00857957
174,51286.5,0.41195,0.33352,0.7401,0.90014,0.81535,0.87102,0.70997,0.26768,0.20085,0.6095,0.00857131,0.00857131,0.00857131
175,51580.3,0.41368,0.33451,0.73968,0.89896,0.81555,0.87216,0.71137,0.26678,0.20016,0.60883,0.00856305,0.00856305,0.00856305
176,51873.6,0.41261,0.33367,0.74063,0.90136,0.81542,0.87316,0.71284,0.26588,0.19949,0.60817,0.00855479,0.00855479,0.00855479
177,52164.3,0.41042,0.33137,0.73885,0.90498,0.81488,0.87417,0.71445,0.26497,0.19877,0.60749,0.00854653,0.00854653,0.00854653
178,52454.8,0.41047,0.3312,0.73784,0.90443,0.8171,0.87542,0.71546,0.26411,0.19812,0.60685,0.00853828,0.00853828,0.00853828
179,52745.5,0.40926,0.33027,0.7379,0.90823,0.81795,0.8772,0.71725,0.26321,0.19742,0.60618,0.00853002,0.00853002,0.00853002
